trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.5, 'e': 0.5652118543690727}",20,13,5.174125598600311,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.5552848899100348}",30,0,-96.84519909207035,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.5453358122321549}",30,0,-110.57904252662657,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.5353686008338514}",25,18,-75.70249009104337,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.5253872424667896}",20,0,-48.222963143706,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.515395729541233}",25,13,18.73712656946143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.5053980585291337}",25,7,-91.72426197050716,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
80,False,"{'a': 0.5, 'e': 0.4953982283655958}",30,0,3.1230040679262805,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.48540023884935557}",35,24,-44.061527693621386,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4754080890429147}",25,8,-45.272630831270575,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.4654257756729689}",20,4,2.44930283431167,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4554572915317704}",25,13,-20.658202242136795,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.44550662388006446}",25,7,-95.17744310314266,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.43557775285223765}",20,0,-5.355158263552994,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.4256746498643182}",25,11,10.334969490612314,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
